[2025-02-13_09-26-29-299] Confidence: 0.90 | Text: hello | Audio: audio_logs1/speech_2025-02-13_09-26-29-299.wav | Frequencies: [np.float64(0.7956456483607892), np.float64(45.93045333719101), np.float64(18.589175602611167), np.float64(34.86374568271822), np.float64(6.29283376430806), np.float64(70.37847416864072), np.float64(197.681777906367), np.float64(180.6838936004774), np.float64(92.72888374532107), np.float64(49.54702446610369)] | Type: Normal Sound Range
[2025-02-13_11-00-05-219] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_11-00-05-219.wav | Frequencies: [np.float64(0.4339885354695214), np.float64(19.45715267355021), np.float64(43.54351639210864), np.float64(7.016147990090595), np.float64(33.56178007630965), np.float64(38.046328276161375), np.float64(63.000669065658855), np.float64(47.232418943599576), np.float64(55.333538272363974), np.float64(23.869369450823676)] | Type: Normal Sound Range
[2025-02-13_11-00-10-232] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_11-00-10-232.wav | Frequencies: [np.float64(0.3616571128912678), np.float64(19.384821250971953), np.float64(43.54351639210864), np.float64(9.909404893220739), np.float64(34.429757147248694), np.float64(62.928337643080596), np.float64(67.84687437840184), np.float64(6.075839496573299), np.float64(48.028064591960366), np.float64(56.12918392072476)] | Type: Normal Sound Range
[2025-02-13_11-00-15-245] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_11-00-15-245.wav | Frequencies: [np.float64(0.28932569031301425), np.float64(19.45715267355021), np.float64(43.54351639210864), np.float64(4.773873890164735), np.float64(36.67203124717456), np.float64(23.3630494927759), np.float64(63.000669065658855), np.float64(69.07650856223215), np.float64(47.955733169382114), np.float64(56.346178188459525)] | Type: Normal Sound Range
[2025-02-13_11-00-20-258] Confidence: 0.90 | Text: what's the temperature today | Audio: audio_logs1/speech_2025-02-13_11-00-20-258.wav | Frequencies: [np.float64(0.650982803204282), np.float64(19.384821250971953), np.float64(43.54351639210864), np.float64(5.714182383682031), np.float64(33.634111498887904), np.float64(10.415724851268513), np.float64(62.928337643080596), np.float64(67.48521726551057), np.float64(49.18536735321242), np.float64(38.19099112131788)] | Type: Normal Sound Range
[2025-02-13_11-00-25-271] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_11-00-25-271.wav | Frequencies: [np.float64(0.506319958047775), np.float64(19.384821250971953), np.float64(43.54351639210864), np.float64(34.21276287951393), np.float64(4.556879622429975), np.float64(10.271062006112006), np.float64(38.046328276161375), np.float64(49.04070450805592), np.float64(63.000669065658855), np.float64(23.00139237988463)] | Type: Normal Sound Range
[2025-02-13_11-00-30-285] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_11-00-30-285.wav | Frequencies: [np.float64(0.4339885354695214), np.float64(19.45715267355021), np.float64(43.54351639210864), np.float64(32.838465850527115), np.float64(6.437496609464567), np.float64(10.198730583533752), np.float64(37.32301405037884), np.float64(23.218386647619393), np.float64(63.57932044628488), np.float64(47.44941321133434)] | Type: Normal Sound Range
[2025-02-13_11-00-35-298] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_11-00-35-298.wav | Frequencies: [np.float64(0.5786513806260285), np.float64(19.384821250971953), np.float64(43.54351639210864), np.float64(33.12779154084013), np.float64(38.046328276161375), np.float64(10.198730583533752), np.float64(62.928337643080596), np.float64(6.29283376430806), np.float64(24.086363718558438), np.float64(52.00629283376431)] | Type: Normal Sound Range
[2025-02-13_11-00-40-311] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_11-00-40-311.wav | Frequencies: [np.float64(0.4339885354695214), np.float64(19.384821250971953), np.float64(43.54351639210864), np.float64(4.773873890164735), np.float64(33.05546011826188), np.float64(38.046328276161375), np.float64(10.054067738377245), np.float64(49.11303593063417), np.float64(63.000669065658855), np.float64(55.18887542720747)] | Type: Normal Sound Range
[2025-02-13_11-00-45-345] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_11-00-45-345.wav | Frequencies: [np.float64(0.506319958047775), np.float64(19.384821250971953), np.float64(6.075839496573299), np.float64(44.12216777273467), np.float64(33.12779154084013), np.float64(10.198730583533752), np.float64(62.928337643080596), np.float64(38.046328276161375), np.float64(49.33003019836893), np.float64(55.04421258205096)] | Type: Normal Sound Range
[2025-02-13_11-00-50-358] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_11-00-50-358.wav | Frequencies: [np.float64(0.506319958047775), np.float64(19.384821250971953), np.float64(7.30547368040361), np.float64(34.35742572467044), np.float64(43.54351639210864), np.float64(63.000669065658855), np.float64(38.40798538905264), np.float64(48.53438455000814), np.float64(26.83495777653207), np.float64(66.76190303972804)] | Type: Normal Sound Range
[2025-02-13_11-00-55-371] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_11-00-55-371.wav | Frequencies: [np.float64(1.0849713386738034), np.float64(19.384821250971953), np.float64(33.12779154084013), np.float64(43.54351639210864), np.float64(4.701542467586481), np.float64(38.046328276161375), np.float64(10.271062006112006), np.float64(62.928337643080596), np.float64(68.20853149129312), np.float64(49.25769877579068)] | Type: Normal Sound Range
[2025-02-13_11-01-00-385] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_11-01-00-385.wav | Frequencies: [np.float64(0.2169942677347607), np.float64(19.384821250971953), np.float64(43.54351639210864), np.float64(7.016147990090595), np.float64(33.56178007630965), np.float64(37.39534547295709), np.float64(62.928337643080596), np.float64(10.705050541581528), np.float64(24.737346521762717), np.float64(49.40236162094718)] | Type: Normal Sound Range
[2025-02-13_11-01-05-398] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_11-01-05-398.wav | Frequencies: [np.float64(0.506319958047775), np.float64(19.384821250971953), np.float64(43.54351639210864), np.float64(62.928337643080596), np.float64(6.871485144934089), np.float64(34.21276287951393), np.float64(38.046328276161375), np.float64(67.19589157519756), np.float64(24.15869514113669), np.float64(47.59407605649084)] | Type: Normal Sound Range
[2025-02-13_11-01-10-411] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_11-01-10-411.wav | Frequencies: [np.float64(0.28932569031301425), np.float64(19.384821250971953), np.float64(44.04983635015642), np.float64(6.509828032042821), np.float64(62.928337643080596), np.float64(34.574419992405204), np.float64(67.48521726551057), np.float64(38.6249796567874), np.float64(10.271062006112006), np.float64(49.04070450805592)] | Type: Normal Sound Range
[2025-02-13_11-01-15-424] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_11-01-15-424.wav | Frequencies: [np.float64(0.8679770709390427), np.float64(19.384821250971953), np.float64(4.701542467586481), np.float64(10.198730583533752), np.float64(43.54351639210864), np.float64(32.91079727310537), np.float64(62.928337643080596), np.float64(37.32301405037884), np.float64(66.8342344623063), np.float64(26.907289199110327)] | Type: Normal Sound Range
[2025-02-13_11-01-20-437] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_11-01-20-437.wav | Frequencies: [np.float64(0.4339885354695214), np.float64(19.384821250971953), np.float64(6.220502341729806), np.float64(33.12779154084013), np.float64(10.126399160955499), np.float64(43.54351639210864), np.float64(38.40798538905264), np.float64(62.928337643080596), np.float64(49.04070450805592), np.float64(15.62358727690277)] | Type: Normal Sound Range
[2025-02-13_11-01-25-450] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_11-01-25-450.wav | Frequencies: [np.float64(1.01263991609555), np.float64(19.384821250971953), np.float64(6.220502341729806), np.float64(12.441004683459612), np.float64(33.92343718920092), np.float64(43.54351639210864), np.float64(62.928337643080596), np.float64(49.04070450805592), np.float64(67.19589157519756), np.float64(38.697311079365655)] | Type: Normal Sound Range
[2025-02-13_11-01-30-463] Confidence: 0.90 | Text: where are those pictures | Audio: audio_logs1/speech_2025-02-13_11-01-30-463.wav | Frequencies: [np.float64(0.2169942677347607), np.float64(19.384821250971953), np.float64(32.983128695683625), np.float64(5.931176651416792), np.float64(43.54351639210864), np.float64(62.928337643080596), np.float64(9.764742048064232), np.float64(38.046328276161375), np.float64(67.1235601526193), np.float64(49.11303593063417)] | Type: Normal Sound Range
[2025-02-13_11-01-35-498] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_11-01-35-498.wav | Frequencies: [np.float64(0.7233142257825356), np.float64(19.384821250971953), np.float64(4.556879622429975), np.float64(10.198730583533752), np.float64(43.54351639210864), np.float64(37.973996853583124), np.float64(32.69380300537061), np.float64(62.928337643080596), np.float64(15.478924431746263), np.float64(23.073723802462887)] | Type: Normal Sound Range
[2025-02-13_11-01-40-511] Confidence: 0.90 | Text: 867 | Audio: audio_logs1/speech_2025-02-13_11-01-40-511.wav | Frequencies: [np.float64(0.28932569031301425), np.float64(19.384821250971953), np.float64(33.12779154084013), np.float64(7.667130793294878), np.float64(37.973996853583124), np.float64(15.768250122059277), np.float64(44.04983635015642), np.float64(55.11654400462921), np.float64(62.928337643080596), np.float64(4.0505596643822)] | Type: Normal Sound Range
[2025-02-13_11-01-45-524] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_11-01-45-524.wav | Frequencies: [np.float64(0.3616571128912678), np.float64(19.384821250971953), np.float64(4.846205312742988), np.float64(43.97750492757817), np.float64(62.928337643080596), np.float64(37.973996853583124), np.float64(34.14043145693568), np.float64(67.41288584293233), np.float64(10.126399160955499), np.float64(24.15869514113669)] | Type: Normal Sound Range
[2025-02-13_11-01-50-537] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_11-01-50-537.wav | Frequencies: [np.float64(0.506319958047775), np.float64(19.384821250971953), np.float64(4.701542467586481), np.float64(43.54351639210864), np.float64(62.928337643080596), np.float64(32.62147158279236), np.float64(38.697311079365655), np.float64(24.014032295980183), np.float64(47.52174463391259), np.float64(67.62988011066709)] | Type: Normal Sound Range
[2025-02-13_11-01-55-550] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_11-01-55-550.wav | Frequencies: [np.float64(0.3616571128912678), np.float64(19.384821250971953), np.float64(4.846205312742988), np.float64(62.928337643080596), np.float64(43.97750492757817), np.float64(10.271062006112006), np.float64(33.05546011826188), np.float64(49.04070450805592), np.float64(24.303357986293197), np.float64(68.64252002676263)] | Type: Normal Sound Range
[2025-02-13_11-02-00-563] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_11-02-00-563.wav | Frequencies: [np.float64(0.3616571128912678), np.float64(19.384821250971953), np.float64(5.641850961103778), np.float64(38.40798538905264), np.float64(62.928337643080596), np.float64(43.54351639210864), np.float64(23.941700873401928), np.float64(10.271062006112006), np.float64(34.28509430209219), np.float64(69.43816567512341)] | Type: Normal Sound Range
[2025-02-13_11-02-05-576] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_11-02-05-576.wav | Frequencies: [np.float64(0.28932569031301425), np.float64(19.384821250971953), np.float64(9.764742048064232), np.float64(4.629211045008228), np.float64(43.54351639210864), np.float64(33.92343718920092), np.float64(62.928337643080596), np.float64(37.973996853583124), np.float64(47.232418943599576), np.float64(24.15869514113669)] | Type: Normal Sound Range
[2025-02-13_11-02-10-589] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_11-02-10-589.wav | Frequencies: [np.float64(0.506319958047775), np.float64(19.384821250971953), np.float64(5.7865138062602846), np.float64(33.56178007630965), np.float64(43.54351639210864), np.float64(62.928337643080596), np.float64(10.054067738377245), np.float64(38.046328276161375), np.float64(24.15869514113669), np.float64(49.04070450805592)] | Type: Normal Sound Range
[2025-02-13_11-02-15-603] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_11-02-15-603.wav | Frequencies: [np.float64(0.28932569031301425), np.float64(19.384821250971953), np.float64(7.377805102981863), np.float64(33.05546011826188), np.float64(43.54351639210864), np.float64(62.928337643080596), np.float64(38.26332254389614), np.float64(24.15869514113669), np.float64(53.091264172438116), np.float64(47.59407605649084)] | Type: Normal Sound Range
[2025-02-13_11-02-20-616] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_11-02-20-616.wav | Frequencies: [np.float64(0.3616571128912678), np.float64(18.08285564456339), np.float64(5.7865138062602846), np.float64(9.54774778032947), np.float64(43.54351639210864), np.float64(32.76613442794886), np.float64(62.928337643080596), np.float64(37.61233974069185), np.float64(49.04070450805592), np.float64(23.146055225041138)] | Type: Normal Sound Range
[2025-02-13_11-02-25-650] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_11-02-25-650.wav | Frequencies: [np.float64(0.650982803204282), np.float64(7.594799370716624), np.float64(19.384821250971953), np.float64(32.983128695683625), np.float64(43.54351639210864), np.float64(23.869369450823676), np.float64(62.928337643080596), np.float64(38.48031681163089), np.float64(49.04070450805592), np.float64(27.775266270049368)] | Type: Normal Sound Range
[2025-02-13_11-02-30-663] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_11-02-30-663.wav | Frequencies: [np.float64(0.650982803204282), np.float64(7.450136525560117), np.float64(19.384821250971953), np.float64(33.27245438599664), np.float64(11.862353302833585), np.float64(28.353917650675395), np.float64(48.028064591960366), np.float64(54.89954973689446), np.float64(37.6846711632701), np.float64(41.301242292182785)] | Type: Normal Sound Range
[2025-02-13_11-02-35-676] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_11-02-35-676.wav | Frequencies: [np.float64(0.4339885354695214), np.float64(19.384821250971953), np.float64(7.160810835247102), np.float64(43.54351639210864), np.float64(33.05546011826188), np.float64(38.48031681163089), np.float64(62.928337643080596), np.float64(23.435380915354155), np.float64(27.268946312001592), np.float64(67.26822299777581)] | Type: Normal Sound Range
[2025-02-13_11-02-40-689] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_11-02-40-689.wav | Frequencies: [np.float64(0.28932569031301425), np.float64(19.384821250971953), np.float64(43.54351639210864), np.float64(23.218386647619393), np.float64(27.124283466845085), np.float64(5.641850961103778), np.float64(10.56038769642502), np.float64(39.13129961483518), np.float64(49.76401873383845), np.float64(66.68957161714978)] | Type: Normal Sound Range
[2025-02-13_11-02-45-703] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_11-02-45-703.wav | Frequencies: [np.float64(0.14466284515650712), np.float64(19.384821250971953), np.float64(43.54351639210864), np.float64(4.412216777273468), np.float64(36.81669409233106), np.float64(10.34339342869026), np.float64(23.218386647619393), np.float64(62.856006220502344), np.float64(52.44028136923383), np.float64(69.29350282996691)] | Type: Normal Sound Range
[2025-02-13_11-02-50-716] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_11-02-50-716.wav | Frequencies: [np.float64(0.28932569031301425), np.float64(19.384821250971953), np.float64(43.54351639210864), np.float64(5.207862425634256), np.float64(37.901665431004865), np.float64(62.928337643080596), np.float64(32.838465850527115), np.float64(10.054067738377245), np.float64(23.652375183088914), np.float64(49.18536735321242)] | Type: Normal Sound Range
[2025-02-13_11-02-55-729] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_11-02-55-729.wav | Frequencies: [np.float64(0.3616571128912678), np.float64(19.384821250971953), np.float64(43.54351639210864), np.float64(38.046328276161375), np.float64(5.7865138062602846), np.float64(32.76613442794886), np.float64(62.928337643080596), np.float64(10.415724851268513), np.float64(47.232418943599576), np.float64(52.51261279181209)] | Type: Normal Sound Range
[2025-02-13_11-03-00-741] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_11-03-00-741.wav | Frequencies: [np.float64(0.28932569031301425), np.float64(19.384821250971953), np.float64(43.54351639210864), np.float64(6.437496609464567), np.float64(38.046328276161375), np.float64(33.56178007630965), np.float64(49.33003019836893), np.float64(10.34339342869026), np.float64(24.014032295980183), np.float64(59.745755049637445)] | Type: Normal Sound Range
[2025-02-13_11-03-05-755] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_11-03-05-755.wav | Frequencies: [np.float64(0.28932569031301425), np.float64(19.384821250971953), np.float64(43.54351639210864), np.float64(7.160810835247102), np.float64(38.697311079365655), np.float64(34.429757147248694), np.float64(24.086363718558438), np.float64(10.777381964159781), np.float64(67.99153722355835), np.float64(62.928337643080596)] | Type: Normal Sound Range
[2025-02-13_11-03-10-768] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_11-03-10-768.wav | Frequencies: [np.float64(0.14466284515650712), np.float64(19.384821250971953), np.float64(43.54351639210864), np.float64(33.634111498887904), np.float64(37.61233974069185), np.float64(4.122891086960453), np.float64(9.981736315798992), np.float64(62.928337643080596), np.float64(87.95500985515633), np.float64(24.15869514113669)] | Type: Normal Sound Range
[2025-02-13_11-03-15-803] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_11-03-15-803.wav | Frequencies: [np.float64(2.314605522504114), np.float64(19.384821250971953), np.float64(43.54351639210864), np.float64(34.06810003435743), np.float64(6.871485144934089), np.float64(38.55264823420915), np.float64(24.52035225402796), np.float64(62.928337643080596), np.float64(67.05122873004105), np.float64(51.8616299886078)] | Type: Normal Sound Range
[2025-02-13_11-03-20-815] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_11-03-20-815.wav | Frequencies: [np.float64(0.7233142257825356), np.float64(19.384821250971953), np.float64(43.54351639210864), np.float64(4.629211045008228), np.float64(32.983128695683625), np.float64(38.046328276161375), np.float64(67.26822299777581), np.float64(23.869369450823676), np.float64(10.271062006112006), np.float64(85.64040433265222)] | Type: Normal Sound Range
[2025-02-13_11-03-25-828] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_11-03-25-828.wav | Frequencies: [np.float64(0.7233142257825356), np.float64(19.384821250971953), np.float64(43.54351639210864), np.float64(6.799153722355835), np.float64(33.05546011826188), np.float64(62.928337643080596), np.float64(69.7998227880147), np.float64(10.632719119003273), np.float64(38.55264823420915), np.float64(24.231026563714945)] | Type: Normal Sound Range
[2025-02-13_11-03-30-841] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_11-03-30-841.wav | Frequencies: [np.float64(0.8679770709390427), np.float64(19.384821250971953), np.float64(43.54351639210864), np.float64(6.148170919151553), np.float64(33.851105766622666), np.float64(37.5400083181136), np.float64(9.981736315798992), np.float64(88.02734127773459), np.float64(70.2338113234842), np.float64(62.928337643080596)] | Type: Normal Sound Range
[2025-02-13_11-03-35-855] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_11-03-35-855.wav | Frequencies: [np.float64(0.506319958047775), np.float64(19.09549556065894), np.float64(43.54351639210864), np.float64(5.569519538525524), np.float64(35.00840852787472), np.float64(63.57932044628488), np.float64(52.58494421439034), np.float64(87.01470136163904), np.float64(39.34829388256994), np.float64(72.47608542341007)] | Type: Normal Sound Range
[2025-02-13_11-03-40-868] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_11-03-40-868.wav | Frequencies: [np.float64(0.4339885354695214), np.float64(43.54351639210864), np.float64(5.714182383682031), np.float64(38.046328276161375), np.float64(32.983128695683625), np.float64(66.47257734941502), np.float64(87.95500985515633), np.float64(18.444512757454657), np.float64(50.415001537042734), np.float64(62.63901195276758)] | Type: Normal Sound Range
[2025-02-13_11-03-45-881] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_11-03-45-881.wav | Frequencies: [np.float64(0.28932569031301425), np.float64(43.54351639210864), np.float64(38.046328276161375), np.float64(33.634111498887904), np.float64(5.858845228838539), np.float64(18.372181334876405), np.float64(87.73801558742157), np.float64(64.66429178495868), np.float64(49.04070450805592), np.float64(52.729607059546844)] | Type: Normal Sound Range
[2025-02-13_11-03-50-894] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_11-03-50-894.wav | Frequencies: [np.float64(0.3616571128912678), np.float64(43.54351639210864), np.float64(5.569519538525524), np.float64(37.75700258584836), np.float64(33.634111498887904), np.float64(65.89392596878899), np.float64(23.435380915354155), np.float64(18.372181334876405), np.float64(71.89743404278404), np.float64(47.52174463391259)] | Type: Normal Sound Range
[2025-02-13_11-03-55-908] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_11-03-55-908.wav | Frequencies: [np.float64(0.5786513806260285), np.float64(43.54351639210864), np.float64(5.931176651416792), np.float64(38.046328276161375), np.float64(32.69380300537061), np.float64(67.26822299777581), np.float64(10.126399160955499), np.float64(23.146055225041138), np.float64(72.98240538145784), np.float64(87.66568416484331)] | Type: Normal Sound Range
[2025-02-13_11-04-00-942] Confidence: 0.90 | Text: okay | Audio: audio_logs1/speech_2025-02-13_11-04-00-942.wav | Frequencies: [np.float64(0.4339885354695214), np.float64(43.54351639210864), np.float64(7.160810835247102), np.float64(38.046328276161375), np.float64(67.34055442035407), np.float64(32.983128695683625), np.float64(50.631995804777496), np.float64(55.26120684978572), np.float64(88.96764977125189), np.float64(21.554763928319563)] | Type: Normal Sound Range
[2025-02-13_11-04-05-955] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_11-04-05-955.wav | Frequencies: [np.float64(0.506319958047775), np.float64(43.54351639210864), np.float64(6.220502341729806), np.float64(65.53226885589773), np.float64(39.34829388256994), np.float64(21.482432505741308), np.float64(10.198730583533752), np.float64(34.574419992405204), np.float64(48.7513788177429), np.float64(53.16359559501637)] | Type: Normal Sound Range
[2025-02-13_11-04-10-968] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_11-04-10-968.wav | Frequencies: [np.float64(0.28932569031301425), np.float64(43.54351639210864), np.float64(7.30547368040361), np.float64(21.554763928319563), np.float64(33.56178007630965), np.float64(16.708558615576575), np.float64(25.532992170123507), np.float64(67.41288584293233), np.float64(38.046328276161375), np.float64(4279.0546283069025)] | Type: Normal Sound Range
[2025-02-13_11-04-15-981] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_11-04-15-981.wav | Frequencies: [np.float64(0.5786513806260285), np.float64(4.484548199851721), np.float64(56.41850961103778), np.float64(43.54351639210864), np.float64(20.180466899332743), np.float64(25.099003634653986), np.float64(30.740854595757764), np.float64(9.403084935172963), np.float64(13.308981754398655), np.float64(52.00629283376431)] | Type: Normal Sound Range
[2025-02-13_11-04-20-994] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_11-04-20-994.wav | Frequencies: [np.float64(0.650982803204282), np.float64(4.26755393211696), np.float64(43.54351639210864), np.float64(7.956456483607892), np.float64(33.851105766622666), np.float64(21.265438238006546), np.float64(39.13129961483518), np.float64(25.460660747545255), np.float64(114.28364767364063), np.float64(29.65588325708396)] | Type: Normal Sound Range
[2025-02-13_11-04-26-008] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_11-04-26-008.wav | Frequencies: [np.float64(0.8679770709390427), np.float64(43.54351639210864), np.float64(6.726822299777582), np.float64(32.69380300537061), np.float64(38.11865969873963), np.float64(22.639735266993366), np.float64(4170.412831594365), np.float64(4163.3966836042755), np.float64(63.796314714019644), np.float64(87.15936420679554)] | Type: Normal Sound Range
[2025-02-13_11-04-31-021] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_11-04-31-021.wav | Frequencies: [np.float64(0.506319958047775), np.float64(43.54351639210864), np.float64(38.046328276161375), np.float64(32.62147158279236), np.float64(4.846205312742988), np.float64(67.62988011066709), np.float64(54.46556120142493), np.float64(63.796314714019644), np.float64(87.08703278421729), np.float64(18.29984991229815)] | Type: Normal Sound Range
[2025-02-13_11-04-36-034] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_11-04-36-034.wav | Frequencies: [np.float64(0.4339885354695214), np.float64(43.54351639210864), np.float64(5.931176651416792), np.float64(33.12779154084013), np.float64(37.106019782644076), np.float64(54.97188115947271), np.float64(18.444512757454657), np.float64(86.94236993906078), np.float64(66.68957161714978), np.float64(108.5694652899586)] | Type: Normal Sound Range
[2025-02-13_11-04-41-047] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_11-04-41-047.wav | Frequencies: [np.float64(0.650982803204282), np.float64(43.54351639210864), np.float64(5.207862425634256), np.float64(32.62147158279236), np.float64(65.24294316558472), np.float64(48.96837308547766), np.float64(25.60532359270176), np.float64(18.589175602611167), np.float64(69.22117140738865), np.float64(54.39322977884668)] | Type: Normal Sound Range
[2025-02-13_11-04-46-060] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_11-04-46-060.wav | Frequencies: [np.float64(0.3616571128912678), np.float64(43.54351639210864), np.float64(4.773873890164735), np.float64(38.046328276161375), np.float64(33.4894486537314), np.float64(18.516844180032912), np.float64(51.93396141118606), np.float64(66.76190303972804), np.float64(47.811070324225604), np.float64(87.08703278421729)] | Type: Normal Sound Range
[2025-02-13_11-04-51-095] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_11-04-51-095.wav | Frequencies: [np.float64(0.7956456483607892), np.float64(7.377805102981863), np.float64(43.54351639210864), np.float64(18.372181334876405), np.float64(39.78228241803946), np.float64(33.05546011826188), np.float64(22.49507242183686), np.float64(12.730330373772627), np.float64(69.14883998481041), np.float64(51.06598434024701)] | Type: Normal Sound Range
[2025-02-13_11-04-56-108] Confidence: 0.90 | Text: all right | Audio: audio_logs1/speech_2025-02-13_11-04-56-108.wav | Frequencies: [np.float64(0.506319958047775), np.float64(4.412216777273468), np.float64(43.54351639210864), np.float64(18.806169870345926), np.float64(37.178351205222334), np.float64(8.1011193287644), np.float64(33.56178007630965), np.float64(12.368673260881359), np.float64(237.03007178893694), np.float64(86.79770709390428)] | Type: Normal Sound Range
[2025-02-13_11-05-01-121] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_11-05-01-121.wav | Frequencies: [np.float64(0.506319958047775), np.float64(5.569519538525524), np.float64(43.54351639210864), np.float64(32.5491401602141), np.float64(38.11865969873963), np.float64(9.837073470642485), np.float64(25.532992170123507), np.float64(56.201515343303015), np.float64(65.0982803204282), np.float64(21.482432505741308)] | Type: Normal Sound Range
[2025-02-13_11-05-06-134] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_11-05-06-134.wav | Frequencies: [np.float64(0.506319958047775), np.float64(4.195222509538707), np.float64(43.54351639210864), np.float64(10.198730583533752), np.float64(38.11865969873963), np.float64(31.24717455380554), np.float64(21.482432505741308), np.float64(67.62988011066709), np.float64(13.887633135024684), np.float64(25.243666479810493)] | Type: Normal Sound Range
